feature_name,feature_group,feature_role,technical_variable,pairwise_n,pearson_correlation,spearman_correlation,pilot_flag_threshold,technical_confounding_flag
accelerometer_p95_sampling_interval_ms,quality,qc_only,accelerometer_observed_span_hours,7,0.8087184813754087,0.7207499701564473,0.7,review
accelerometer_gap_burden_fraction,quality,qc_only,accelerometer_raw_row_count,7,0.411133139463963,0.5714285714285715,0.7,not_flagged
accelerometer_gap_burden_fraction,quality,qc_only,accelerometer_valid_signal_minutes,7,0.007900290669513402,0.42857142857142866,0.7,not_flagged
accelerometer_gap_burden_fraction,quality,qc_only,accelerometer_calendar_coverage_fraction,7,0.007900290669513341,0.42857142857142866,0.7,not_flagged
accelerometer_gap_burden_fraction,quality,qc_only,accelerometer_observed_span_hours,7,0.4810562560565779,0.5357142857142858,0.7,not_flagged
accelerometer_magnitude_median,signal_level,sensitivity_only,accelerometer_raw_row_count,7,0.5041380930061325,0.5357142857142858,0.7,not_flagged
accelerometer_magnitude_median,signal_level,sensitivity_only,accelerometer_valid_signal_minutes,7,0.5351010637405288,0.21428571428571433,0.7,not_flagged
accelerometer_magnitude_median,signal_level,sensitivity_only,accelerometer_calendar_coverage_fraction,7,0.5351010637405288,0.21428571428571433,0.7,not_flagged
accelerometer_magnitude_median,signal_level,sensitivity_only,accelerometer_observed_span_hours,7,0.5345425206772729,0.07142857142857144,0.7,not_flagged
accelerometer_magnitude_sd,signal_level,sensitivity_only,accelerometer_raw_row_count,7,-0.5355905450152767,-0.5714285714285715,0.7,not_flagged
accelerometer_magnitude_sd,signal_level,sensitivity_only,accelerometer_valid_signal_minutes,7,-0.5562667707799961,-0.8214285714285715,0.7,review
accelerometer_magnitude_sd,signal_level,sensitivity_only,accelerometer_calendar_coverage_fraction,7,-0.556266770779996,-0.8214285714285715,0.7,review
accelerometer_magnitude_sd,signal_level,sensitivity_only,accelerometer_observed_span_hours,7,-0.5964760609117129,-0.9285714285714288,0.7,review
accelerometer_magnitude_p95,signal_level,sensitivity_only,accelerometer_raw_row_count,7,0.4584037837526878,0.4642857142857144,0.7,not_flagged
accelerometer_magnitude_p95,signal_level,sensitivity_only,accelerometer_valid_signal_minutes,7,0.4290926934978402,0.25,0.7,not_flagged
accelerometer_magnitude_p95,signal_level,sensitivity_only,accelerometer_calendar_coverage_fraction,7,0.42909269349784007,0.25,0.7,not_flagged
accelerometer_magnitude_p95,signal_level,sensitivity_only,accelerometer_observed_span_hours,7,0.23841938102528515,0.10714285714285716,0.7,not_flagged
accelerometer_dynamic_magnitude_rms,dynamic_motion,primary_behavior_candidate,accelerometer_raw_row_count,7,-0.5305205932720793,-0.5714285714285715,0.7,not_flagged
accelerometer_dynamic_magnitude_rms,dynamic_motion,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,-0.5531904885102206,-0.8214285714285715,0.7,review
accelerometer_dynamic_magnitude_rms,dynamic_motion,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,-0.5531904885102207,-0.8214285714285715,0.7,review
accelerometer_dynamic_magnitude_rms,dynamic_motion,primary_behavior_candidate,accelerometer_observed_span_hours,7,-0.5881376769372492,-0.9285714285714288,0.7,review
accelerometer_dynamic_magnitude_p95,dynamic_motion,primary_behavior_candidate,accelerometer_raw_row_count,7,-0.5193665335067222,-0.5,0.7,not_flagged
accelerometer_dynamic_magnitude_p95,dynamic_motion,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,-0.5380128204000533,-0.42857142857142866,0.7,not_flagged
accelerometer_dynamic_magnitude_p95,dynamic_motion,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,-0.538012820400053,-0.42857142857142866,0.7,not_flagged
accelerometer_dynamic_magnitude_p95,dynamic_motion,primary_behavior_candidate,accelerometer_observed_span_hours,7,-0.5718184019025799,-0.5357142857142858,0.7,not_flagged
accelerometer_low_motion_fraction,dynamic_motion,primary_behavior_candidate,accelerometer_raw_row_count,7,0.4698608277237094,0.21428571428571433,0.7,not_flagged
accelerometer_low_motion_fraction,dynamic_motion,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,0.44287189516982745,0.07142857142857144,0.7,not_flagged
accelerometer_low_motion_fraction,dynamic_motion,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,0.44287189516982733,0.07142857142857144,0.7,not_flagged
accelerometer_low_motion_fraction,dynamic_motion,primary_behavior_candidate,accelerometer_observed_span_hours,7,0.5200617822559267,0.1785714285714286,0.7,not_flagged
accelerometer_high_motion_fraction,dynamic_motion,primary_behavior_candidate,accelerometer_raw_row_count,7,-0.5247683132271852,-0.5,0.7,not_flagged
accelerometer_high_motion_fraction,dynamic_motion,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,-0.5472330859597512,-0.42857142857142866,0.7,not_flagged
accelerometer_high_motion_fraction,dynamic_motion,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,-0.5472330859597512,-0.42857142857142866,0.7,not_flagged
accelerometer_high_motion_fraction,dynamic_motion,primary_behavior_candidate,accelerometer_observed_span_hours,7,-0.5806832894009156,-0.5357142857142858,0.7,not_flagged
accelerometer_motion_bout_count,temporal_pattern,primary_behavior_candidate,accelerometer_raw_row_count,7,-0.07553652994504245,-0.15811388300841894,0.7,not_flagged
accelerometer_motion_bout_count,temporal_pattern,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,-0.41091898712408814,-0.3162277660168379,0.7,not_flagged
accelerometer_motion_bout_count,temporal_pattern,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,-0.4109189871240882,-0.3162277660168379,0.7,not_flagged
accelerometer_motion_bout_count,temporal_pattern,primary_behavior_candidate,accelerometer_observed_span_hours,7,-0.05431257644288359,-0.15811388300841894,0.7,not_flagged
accelerometer_longest_observed_quiet_interval_minutes,temporal_pattern,primary_behavior_candidate,accelerometer_raw_row_count,7,0.8687394737266247,0.7387687194103584,0.7,review
accelerometer_longest_observed_quiet_interval_minutes,temporal_pattern,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,0.5046035826709035,0.6847124716486249,0.7,not_flagged
accelerometer_longest_observed_quiet_interval_minutes,temporal_pattern,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,0.5046035826709035,0.6847124716486249,0.7,not_flagged
accelerometer_longest_observed_quiet_interval_minutes,temporal_pattern,primary_behavior_candidate,accelerometer_observed_span_hours,7,0.48017561000983444,0.6126374746329801,0.7,not_flagged
accelerometer_daytime_motion_minutes,circadian,primary_behavior_candidate,accelerometer_raw_row_count,7,0.8564293732376481,0.7500000000000002,0.7,review
accelerometer_daytime_motion_minutes,circadian,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,0.6702692937211812,0.7142857142857144,0.7,review
accelerometer_daytime_motion_minutes,circadian,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,0.6702692937211814,0.7142857142857144,0.7,review
accelerometer_daytime_motion_minutes,circadian,primary_behavior_candidate,accelerometer_observed_span_hours,7,0.6516801210125055,0.642857142857143,0.7,not_flagged
accelerometer_nighttime_motion_minutes,circadian,primary_behavior_candidate,accelerometer_raw_row_count,7,0.7754309022602301,0.6123724356957946,0.7,not_flagged
accelerometer_nighttime_motion_minutes,circadian,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,0.4916825496669145,0.40824829046386296,0.7,not_flagged
accelerometer_nighttime_motion_minutes,circadian,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,0.4916825496669145,0.40824829046386296,0.7,not_flagged
accelerometer_nighttime_motion_minutes,circadian,primary_behavior_candidate,accelerometer_observed_span_hours,7,0.35279001656617714,0.20412414523193148,0.7,not_flagged
accelerometer_day_night_motion_ratio,circadian,primary_behavior_candidate,accelerometer_raw_row_count,1,,,0.7,insufficient_pilot_n
accelerometer_day_night_motion_ratio,circadian,primary_behavior_candidate,accelerometer_valid_signal_minutes,1,,,0.7,insufficient_pilot_n
accelerometer_day_night_motion_ratio,circadian,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,1,,,0.7,insufficient_pilot_n
accelerometer_day_night_motion_ratio,circadian,primary_behavior_candidate,accelerometer_observed_span_hours,1,,,0.7,insufficient_pilot_n
accelerometer_hourly_motion_entropy,circadian,primary_behavior_candidate,accelerometer_raw_row_count,7,0.6084061362950964,0.6306562238868914,0.7,not_flagged
accelerometer_hourly_motion_entropy,circadian,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,0.9205247994195279,0.9189562119494703,0.7,review
accelerometer_hourly_motion_entropy,circadian,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,0.920524799419528,0.9189562119494703,0.7,review
accelerometer_hourly_motion_entropy,circadian,primary_behavior_candidate,accelerometer_observed_span_hours,7,0.8668327006852354,0.8108437164260032,0.7,review
accelerometer_magnitude_jerk_median,rapid_change,primary_behavior_candidate,accelerometer_raw_row_count,7,-0.3740459738111334,-0.21428571428571433,0.7,not_flagged
accelerometer_magnitude_jerk_median,rapid_change,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,-0.4234301856994393,-0.10714285714285716,0.7,not_flagged
accelerometer_magnitude_jerk_median,rapid_change,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,-0.42343018569943913,-0.10714285714285716,0.7,not_flagged
accelerometer_magnitude_jerk_median,rapid_change,primary_behavior_candidate,accelerometer_observed_span_hours,7,-0.48675839488423417,-0.28571428571428575,0.7,not_flagged
accelerometer_magnitude_jerk_p95,rapid_change,primary_behavior_candidate,accelerometer_raw_row_count,7,-0.4603345333110703,-0.4642857142857144,0.7,not_flagged
accelerometer_magnitude_jerk_p95,rapid_change,primary_behavior_candidate,accelerometer_valid_signal_minutes,7,-0.5039441641712903,-0.25,0.7,not_flagged
accelerometer_magnitude_jerk_p95,rapid_change,primary_behavior_candidate,accelerometer_calendar_coverage_fraction,7,-0.5039441641712904,-0.25,0.7,not_flagged
accelerometer_magnitude_jerk_p95,rapid_change,primary_behavior_candidate,accelerometer_observed_span_hours,7,-0.5345490860764187,-0.42857142857142866,0.7,not_flagged
